Message 1
Message Value: 00000000000000000000000000000000
Hash Iteration Trace:
 i  A_reg      B_reg      C_reg      D_reg      constant[i]   F             random   word[random]   F+A_reg+constant[i]+word[random]   step[i]   rotated
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 0  67452301   efcdab89   98badcfe   10325476   d76aa478      98badcfe      0        00000000       d76aa477                            7        b5523beb
 1  10325476   a51fe774   efcdab89   98badcfe   e8c7b756      bdadbb8a      1        00000000       b6a7c756                           12        7c756b6a
 2  98badcfe   219552de   a51fe774   efcdab89   242070db      ef5deb55      2        00000000       ac39392e                           17        725d5872
 3  efcdab89   93f2ab50   219552de   a51fe774   c1bdceee      259d4674      3        00000000       d728c0eb                           22        3af5ca30
 4  a51fe774   cee87580   93f2ab50   219552de   f57c0faf      a3f5235e      1        00000000       3e911a81                            7        488d409f
 5  219552de   1775b61f   cee87580   93f2ab50   4787c62a      86e23d40      0        00000000       efff5648                           12        f5648eff
 6  93f2ab50   0cda451e   1775b61f   cee87580   a8304613      c670349e      3        00000000       02932601                           17        4c020526
 7  cee87580   58dc4a44   0cda451e   1775b61f   fd469501      0ff9f41f      2        00000000       dc28fea0                           22        a8370a3f
 8  1775b61f   01135483   58dc4a44   0cda451e   698098d8      0cd8411c      2        00000000       8dce9013                            7        e74809c6
 9  0cda451e   e85b5e49   01135483   58dc4a44   8b44f7af      10975405      3        00000000       a8b690d2                           12        690d2a8b
10  58dc4a44   516888d4   e85b5e49   01135483   ffff5bb1      405b5c43      0        00000000       99370238                           17        0471326e
11  01135483   55d9bb42   516888d4   e85b5e49   895cd7be      f94acc49      1        00000000       83baf88a                           22        22a0eebe
12  e85b5e49   787aaa00   55d9bb42   516888d4   6b901122      5158aad4      3        00000000       a5441a3f                            7        a20d1fd2
13  516888d4   1a87c9d2   787aaa00   55d9bb42   fd987193      5d5aba00      2        00000000       ac5bb467                           12        bb467ac5
14  55d9bb42   d5ce4497   1a87c9d2   787aaa00   a679438e      38b6ea92      1        00000000       3509e962                           17        d2c46a13
15  787aaa00   a892aeaa   d5ce4497   1a87c9d2   49b40821      928745d2      0        00000000       54b5f7f3                           22        fcd52d7d
16  1a87c9d2   a567dc27   a892aeaa   d5ce4497   f61e2562      ad56ee2f      1        00000000       bdfcdd63                            5        bf9bac77
17  d5ce4497   6503889e   a567dc27   a892aeaa   c040b340      2567d88f      0        00000000       bb76d066                            9        eda0cd76
18  a892aeaa   52a45614   6503889e   a567dc27   265e5a51      4024549c      3        00000000       0f155d97                           14        5765c3c5
19  a567dc27   aa0a19d9   52a45614   6503889e   e9b6c7aa      32a65e98      2        00000000       c1c50269                           20        269c1c50
20  6503889e   d0a63629   aa0a19d9   52a45614   d62f105d      f8ae1fc9      0        00000000       33e0b8c4                            5        7c171886
21  52a45614   4cbd4eaf   d0a63629   aa0a19d9   02441453      58ac2ea9      1        00000000       ad949910                            9        2932215b
22  aa0a19d9   75ef700a   4cbd4eaf   d0a63629   d8a1e681      5cbf788e      2        00000000       df6b78e8                           14        de3a37da
23  d0a63629   5429a7e4   75ef700a   4cbd4eaf   e7d3fbc8      756b36a4      3        00000000       2de56895                           20        8952de56
24  4cbd4eaf   dd7c863a   5429a7e4   75ef700a   21e1cde6      556c87ee      3        00000000       c40ba483                            5        81749078
25  75ef700a   5ef116b2   dd7c863a   5429a7e4   c33707d6      dd7506ba      2        00000000       169b7e9a                            9        36fd342d
26  5429a7e4   95ee4adf   5ef116b2   dd7c863a   f4d50d87      97ed129a      1        00000000       e0ebc805                           14        f201783a
27  dd7c863a   87efc319   95ee4adf   5ef116b2   455a14ed      87ef4a5d      0        00000000       aac5e584                           20        584aac5e
28  5ef116b2   e03a6f77   87efc319   95ee4adf   a9e3e905      822bcb57      2        00000000       8b00cb0e                            5        601961d1
29  95ee4adf   4053d148   e03a6f77   87efc319   fcefa3f8      6053ed6e      3        00000000       f331dc45                            9        63b88be6
30  87efc319   a40c5d2e   4053d148   e03a6f77   676f02d9      a049dd2e      0        00000000       8fa8a320                           14        28c823ea
31  e03a6f77   ccd48118   a40c5d2e   4053d148   8d2a4c8a      e45c8d2e      1        00000000       51c1492f                           20        92f51c14
32  4053d148   5fc99d2c   ccd48118   a40c5d2e   fffa3942      3711411a      2        00000000       775f4ba4                            4        75f4ba47
33  a40c5d2e   d5be5773   5fc99d2c   ccd48118   8771f681      46a34b47      3        00000000       72219ef6                           11        0cf7b391
34  ccd48118   e2b60b04   d5be5773   5fc99d2c   6d9d6122      68c1c15b      0        00000000       a333a395                           16        a395a333
35  5fc99d2c   864bae37   e2b60b04   d5be5773   fde5380c      b143f240      1        00000000       0ef2c778                           23        bc077963
36  d5be5773   4253279a   864bae37   e2b60b04   a4beea44      26ae82a9      3        00000000       a12bc460                            4        12bc460a
37  e2b60b04   550f6da4   4253279a   864bae37   4bdecfa9      9117e409      2        00000000       bfacbeb6                           11        65f5b5fd
38  864bae37   bb0523a1   550f6da4   4253279a   f6bb4b60      ac59699f      1        00000000       29606336                           16        63362960
39  4253279a   1e3b4d01   bb0523a1   550f6da4   bebfbc70      f0310304      0        00000000       f143e70e                           23        8778a1f3
40  550f6da4   a5b3eef4   1e3b4d01   bb0523a1   289b7ec6      008d8054      0        00000000       7e386cbe                            4        e386cbe7
41  bb0523a1   893abadb   a5b3eef4   1e3b4d01   eaa127fa      32b2192e      1        00000000       d85864c9                           11        c3264ec2
42  1e3b4d01   4c61099d   893abadb   a5b3eef4   d4ef3085      60e85db2      2        00000000       5412db38                           16        db385412
43  a5b3eef4   27995daf   4c61099d   893abadb   04881d05      e2c2eee9      3        00000000       8cfefae2                           23        71467f7d
44  893abadb   98dfdd2c   27995daf   4c61099d   d9d4d039      f327891e      1        00000000       56371432                            4        63714325
45  4c61099d   fc512051   98dfdd2c   27995daf   e6db99e5      4317a0d2      0        00000000       76544454                           11        a222a3b2
46  27995daf   9e73c403   fc512051   98dfdd2c   1fa27cf8      fafd397e      3        00000000       42391425                           16        14254239
