Message Value: 41a801a8e81df62b14a661b85c97bf45

Hash Iteration Trace:
 i  a_reg      b_reg      c_reg      d_reg      k          f          rnd   word       s    rot
---------------------------------------------------------------------------------------------------------------
 0  67452301   efcdab89   98badcfe   10325476   d76aa478   98badcfe   0     41a801a8    7   89530f8c
 1  10325476   7920bb15   efcdab89   98badcfe   e8c7b756   e99aefeb   1     e81df62b   12   2f1e2cab
 2  98badcfe   a83ee7c0   7920bb15   efcdab89   242070db   6fe1ab09   2     14a661b8   17   b53482c6
 3  efcdab89   5d736a86   a83ee7c0   7920bb15   c1bdceee   2832f391   3     5c97bf45   22   534d958b
 4  7920bb15   b0c10011   5d736a86   a83ee7c0   f57c0faf   187fe7c0   1     e81df62b    7   9d5457b7
 5  a83ee7c0   4e1557c8   b0c10011   5d736a86   4787c62a   11632806   0     41a801a8   12   1d79842d
 6  5d736a86   6b8edbf5   4e1557c8   b0c10011   a8304613   da4553c0   3     5c97bf45   17   873c7901
 7  b0c10011   f2cb54f6   6b8edbf5   4e1557c8   fd469501   6e9e53fc   2     14a661b8   22   b18c5312
 8  4e1557c8   a457a808   f2cb54f6   6b8edbf5   698098d8   ebcb53f5   2     14a661b8    7   03d326dc
 9  6b8edbf5   a82acee4   a457a808   f2cb54f6   8b44f7af   f2c39812   3     5c97bf45   12   f2afb462
10  f2cb54f6   9ada8346   a82acee4   a457a808   ffff5bb1   ac0faa4c   0     41a801a8   17   b937c104
11  a457a808   5412444a   9ada8346   a82acee4   895cd7be   b83a8ae6   1     e81df62b   22   35f38340
12  a82acee4   8a05c78a   5412444a   9ada8346   6b901122   10da444e   3     5c97bf45    7   9671ccc0
13  9ada8346   2077944a   8a05c78a   5412444a   fd987193   5405c40a   2     14a661b8   12   f1a9b011
14  5412444a   1221445b   2077944a   8a05c78a   a679438e   882587ca   1     e81df62b   17   0b9ad59e
15  8a05c78a   1dbc19f9   1221445b   2077944a   49b40821   3063845b   0     41a801a8   22   6b917155
16  2077944a   894d8b4e   1dbc19f9   1221445b   f61e2562   0d9d19ea   1     e81df62b    5   8a193821
17  1221445b   1366c36f   894d8b4e   1dbc19f9   c040b340   9165836f   0     41a801a8    9   def9654a
18  1dbc19f9   f26028b9   1366c36f   894d8b4e   265e5a51   92624829   3     5c97bf45   14   1eee0cc5
19  894d8b4e   114e357e   f26028b9   1366c36f   e9b6c7aa   f14629fe   2     14a661b8   20   eae78f0d
20  1366c36f   fc35c48b   114e357e   f26028b9   d62f105d   f12e15cf   0     41a801a8    5   8d7d6863
21  f26028b9   89b32cee   fc35c48b   114e357e   02441453   ed33e4ef   1     e81df62b    9   ec304d93
