expected,verdict,score,reason,query
benign,NORMAL,0.410335,Isolation Forest,monosnap.com
benign,NORMAL,0.564892,Isolation Forest,facilitategovernor.com
benign,NORMAL,0.556331,Isolation Forest,bidorbuy.co.za
benign,NORMAL,0.394664,Isolation Forest,digital.com
benign,NORMAL,0.565953,Isolation Forest,nationalgeographic.com
benign,NORMAL,0.395223,Isolation Forest,iscorp.com
benign,NORMAL,0.409820,Isolation Forest,dashburst.com
benign,NORMAL,0.400098,Isolation Forest,gurufocus.com
benign,NORMAL,0.478543,Isolation Forest,img2go.com
benign,NORMAL,0.390424,Isolation Forest,jpoonline.com
benign,NORMAL,0.482932,Isolation Forest,cps.edu
benign,NORMAL,0.410184,Isolation Forest,kinotochka.co
benign,NORMAL,0.417954,Isolation Forest,conoha.jp
benign,NORMAL,0.391196,Isolation Forest,gammvert.fr
benign,NORMAL,0.502346,Isolation Forest,marshallfridge.com
benign,NORMAL,0.622143,Isolation Forest,freeadvertisingforyou.com
benign,NORMAL,0.392607,Isolation Forest,yahoo-mbga.jp
benign,NORMAL,0.548569,Isolation Forest,createsplashpages.com
benign,NORMAL,0.450053,Isolation Forest,uzzf.com
benign,NORMAL,0.554741,Isolation Forest,bitpark.co.jp
benign,NORMAL,0.398205,Isolation Forest,kmplayer.com
benign,NORMAL,0.532572,Isolation Forest,www.usatoday.com
benign,NORMAL,0.406067,Isolation Forest,darkyou.tube
benign,NORMAL,0.413100,Isolation Forest,pornerbros.com
benign,NORMAL,0.388161,Isolation Forest,owata-net.com
benign,NORMAL,0.395596,Isolation Forest,uptostream.com
benign,NORMAL,0.388161,Isolation Forest,startmail.com
benign,NORMAL,0.395223,Isolation Forest,ketqua.net
benign,NORMAL,0.458758,Isolation Forest,almshaheer-sd.com
benign,NORMAL,0.397009,Isolation Forest,prolific.co
benign,NORMAL,0.554813,Isolation Forest,marriott.co.jp
benign,NORMAL,0.533372,Isolation Forest,www.fmkorea.com
benign,NORMAL,0.532998,Isolation Forest,www.mumsnet.com
benign,NORMAL,0.559852,Isolation Forest,theinterviewguys.com
benign,NORMAL,0.431806,Isolation Forest,melon.com
benign,NORMAL,0.391424,Isolation Forest,fasttech.com
benign,NORMAL,0.391424,Isolation Forest,magnum-f.net
benign,NORMAL,0.452580,Isolation Forest,shemales-time.com
benign,NORMAL,0.564497,Isolation Forest,korea.ac.kr
benign,NORMAL,0.395223,Isolation Forest,ncloud.com
benign,NORMAL,0.390973,Isolation Forest,glowroad.com
benign,NORMAL,0.518192,Isolation Forest,home77.com
benign,NORMAL,0.417954,Isolation Forest,worten.pt
benign,NORMAL,0.426594,Isolation Forest,ark-invest.com
benign,NORMAL,0.525773,Isolation Forest,mzcr.cz
benign,NORMAL,0.406926,Isolation Forest,aroma-zone.com
benign,NORMAL,0.401656,Isolation Forest,avmoo.site
benign,NORMAL,0.415094,Isolation Forest,zamzar.com
benign,NORMAL,0.403854,Isolation Forest,tokenpost.kr
benign,NORMAL,0.529365,Isolation Forest,programmersought.com
benign,NORMAL,0.415806,Isolation Forest,reposetime.net
benign,NORMAL,0.396151,Isolation Forest,boiteajeux.net
benign,NORMAL,0.559525,Isolation Forest,rcms.go.kr
benign,NORMAL,0.560748,Isolation Forest,kubg.edu.ua
benign,NORMAL,0.422024,Isolation Forest,stepstone.de
benign,NORMAL,0.440921,Isolation Forest,careerengine.us
benign,NORMAL,0.388161,Isolation Forest,cardmavin.com
benign,NORMAL,0.395596,Isolation Forest,provincial.com
benign,NORMAL,0.421912,Isolation Forest,mrelhlawany.com
benign,NORMAL,0.397639,Isolation Forest,nsbinom.site
benign,NORMAL,0.395993,Isolation Forest,synology.com
benign,NORMAL,0.393423,Isolation Forest,huaban.com
benign,NORMAL,0.410335,Isolation Forest,culonudo.com
benign,NORMAL,0.406926,Isolation Forest,sportsmans.com
benign,NORMAL,0.442577,Isolation Forest,tlap.com
benign,NORMAL,0.402568,Isolation Forest,simplesite.com
benign,NORMAL,0.556909,Isolation Forest,www.telewebion.com
benign,NORMAL,0.395993,Isolation Forest,diethood.com
benign,NORMAL,0.588066,Isolation Forest,au.ru
benign,NORMAL,0.421912,Isolation Forest,hackertyper.com
benign,NORMAL,0.520654,Isolation Forest,luc.edu
benign,NORMAL,0.527755,Isolation Forest,120ask.com
benign,NORMAL,0.552996,Isolation Forest,tpv.si
benign,NORMAL,0.548569,Isolation Forest,checkwebsiteprice.com
benign,NORMAL,0.431806,Isolation Forest,mirod.pro
benign,NORMAL,0.402568,Isolation Forest,privatebin.net
benign,NORMAL,0.416412,Isolation Forest,gazzetta.gr
benign,NORMAL,0.449065,Isolation Forest,woojr.com
benign,NORMAL,0.421564,Isolation Forest,fanfiction.net
benign,NORMAL,0.423122,Isolation Forest,instatakipci.com
attack,ANOMALOUS,0.653306,Isolation Forest,000.IN.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,001.GE.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,002.CU.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,003.2T.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,004.KJ.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,005.HU.mine.io
attack,ANOMALOUS,0.662419,Isolation Forest,006.6T.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,007.JA.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,008.IR.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,009.CU.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,010.2T.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,011.ZA.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,012.J5.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,013.HE.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,014.YW.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,015.JA.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,016.PQ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,017.QH.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,018.A4.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,019.TP.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,020.NJ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,021.SW.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,022.G5.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,023.B5.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,024.NZ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,025.SX.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,026.I5.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,027.3P.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,028.OJ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,029.VS.mine.io
attack,ANOMALOUS,0.683156,Isolation Forest,030.24.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,031.3F.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,032.MN.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,033.2X.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,034.E2.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,035.LU.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,036.PE.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,037.QH.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,038.YI.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,039.DT.mine.io
