Starting Concurrency & Context-Switching Benchmark
System CPUs detected: 8
-------------------------------------------------------------------------------------------------------------------
GOMAXPROCS | Goroutines | Workload           | TotalTime    | Throughput/s | AvgLat(ms)   | MinLat(ms)   | MaxLat(ms)  
-------------------------------------------------------------------------------------------------------------------
1          | 1          | CPU-Bound          | 36ms         | 28235.46     | 0.0350       | 0.0310       | 0.1230      
1          | 1          | Mixed-Contention   | 594ms        | 1724.21      | 0.5790       | 0.5120       | 0.7260      
1          | 2          | CPU-Bound          | 37ms         | 27590.39     | 0.0540       | 0.0310       | 18.6120     
1          | 2          | Mixed-Contention   | 298ms        | 3441.33      | 0.5800       | 0.5060       | 0.9020      
1          | 4          | CPU-Bound          | 34ms         | 30473.28     | 0.0320       | 0.0300       | 0.1020      
1          | 4          | Mixed-Contention   | 147ms        | 6942.41      | 0.5760       | 0.5060       | 0.6370      
1          | 8          | CPU-Bound          | 37ms         | 27504.55     | 0.0360       | 0.0310       | 0.1160      
1          | 8          | Mixed-Contention   | 73ms         | 13943.53     | 0.5730       | 0.5050       | 0.7690      
1          | 16         | CPU-Bound          | 35ms         | 29156.07     | 0.0340       | 0.0300       | 0.1020      
1          | 16         | Mixed-Contention   | 37ms         | 27852.51     | 0.5730       | 0.5040       | 0.6340      
1          | 32         | CPU-Bound          | 33ms         | 30692.34     | 0.0320       | 0.0300       | 0.0970      
1          | 32         | Mixed-Contention   | 18ms         | 57128.65     | 0.5550       | 0.5040       | 0.7350      
1          | 64         | CPU-Bound          | 33ms         | 31280.99     | 0.0310       | 0.0300       | 0.1200      
1          | 64         | Mixed-Contention   | 9ms          | 112928.72    | 0.5460       | 0.5040       | 0.8470      
-------------------------------------------------------------------------------------------------------------------
2          | 1          | CPU-Bound          | 32ms         | 31567.91     | 0.0310       | 0.0300       | 0.0930      
2          | 1          | Mixed-Contention   | 594ms        | 1722.60      | 0.5800       | 0.5150       | 0.6830      
2          | 2          | CPU-Bound          | 22ms         | 45895.61     | 0.0430       | 0.0370       | 0.0920      
2          | 2          | Mixed-Contention   | 298ms        | 3437.57      | 0.5810       | 0.5150       | 0.6830      
2          | 4          | CPU-Bound          | 23ms         | 43983.58     | 0.0450       | 0.0400       | 0.1080      
2          | 4          | Mixed-Contention   | 165ms        | 6201.91      | 0.6410       | 0.5090       | 2.9360      
2          | 8          | CPU-Bound          | 17ms         | 60004.25     | 0.0330       | 0.0310       | 0.1070      
2          | 8          | Mixed-Contention   | 73ms         | 14000.64     | 0.5710       | 0.5100       | 0.6590      
2          | 16         | CPU-Bound          | 17ms         | 59611.13     | 0.0330       | 0.0310       | 0.1090      
2          | 16         | Mixed-Contention   | 37ms         | 28048.55     | 0.5690       | 0.5040       | 0.6260      
2          | 32         | CPU-Bound          | 17ms         | 59444.31     | 0.0330       | 0.0310       | 0.1570      
2          | 32         | Mixed-Contention   | 18ms         | 56041.52     | 0.5670       | 0.5040       | 0.6270      
2          | 64         | CPU-Bound          | 16ms         | 62412.70     | 0.0310       | 0.0300       | 0.0710      
2          | 64         | Mixed-Contention   | 9ms          | 113354.79    | 0.5530       | 0.5040       | 0.6790      
-------------------------------------------------------------------------------------------------------------------
8          | 1          | CPU-Bound          | 32ms         | 31584.55     | 0.0310       | 0.0300       | 0.0790      
8          | 1          | Mixed-Contention   | 592ms        | 1729.43      | 0.5780       | 0.5110       | 0.6650      
8          | 2          | CPU-Bound          | 17ms         | 61047.01     | 0.0320       | 0.0300       | 0.0900      
8          | 2          | Mixed-Contention   | 295ms        | 3470.73      | 0.5760       | 0.5250       | 0.6630      
8          | 4          | CPU-Bound          | 9ms          | 110400.34    | 0.0350       | 0.0340       | 0.1450      
8          | 4          | Mixed-Contention   | 148ms        | 6924.91      | 0.5770       | 0.5190       | 0.6470      
8          | 8          | CPU-Bound          | 8ms          | 132348.90    | 0.0390       | 0.0300       | 1.0320      
8          | 8          | Mixed-Contention   | 74ms         | 13881.59     | 0.5760       | 0.5100       | 0.6550      
8          | 16         | CPU-Bound          | 6ms          | 161603.41    | 0.0400       | 0.0310       | 3.3020      
8          | 16         | Mixed-Contention   | 37ms         | 27712.38     | 0.5760       | 0.5080       | 0.6860      
8          | 32         | CPU-Bound          | 6ms          | 161100.21    | 0.0420       | 0.0310       | 3.5130      
8          | 32         | Mixed-Contention   | 19ms         | 55217.41     | 0.5770       | 0.5050       | 0.7140      
8          | 64         | CPU-Bound          | 6ms          | 172941.34    | 0.0400       | 0.0310       | 1.7430      
8          | 64         | Mixed-Contention   | 9ms          | 108710.65    | 0.5750       | 0.5050       | 0.7770      
-------------------------------------------------------------------------------------------------------------------
