Title,Score
Counter-Strike: Global Offensive,88.174711
PAYDAY 2,65.288214
Baldur's Gate 3,54.523843
Forza Horizon 4,46.024558
Cyberpunk 2077,43.033158
Grand Theft Auto V,42.736359
Phasmophobia,39.404217
DAVE THE DIVER,39.348577
Forza Horizon 5,38.811444
Football Manager 2023,38.437766
Team Fortress 2,36.220693
Tom Clancy's Rainbow Six Siege,35.618057
Warframe,35.330670
The Sims 4,33.492937
BattleBit Remastered,32.196980
Rust,31.734731
Dota 2,31.624560
Dead by Daylight,31.577739
Project Zomboid,31.171605
The Texas Chain Saw Massacre,30.228475
FINAL FANTASY XIV Online,29.471438
Sons Of The Forest,29.302390
Apex Legends,29.213963
Red Dead Redemption 2,27.333971
Remnant II,26.930596
ELDEN RING,26.618790
Ready or Not,26.297566
Destiny 2,26.038485
Hogwarts Legacy,26.003706
Dystopy,23.335353
The Elder Scrolls Online,22.289283
Hunt: Showdown,22.202646
Street Fighter 6,19.835148
PUBG: BATTLEGROUNDS,19.168547
War Thunder,18.611499
Echo Point Nova,17.515751
Yu-Gi-Oh! Master Duel,16.965325
EA SPORTS FIFA 23,15.119248
Call of Duty,14.637362
World of Warships,13.260623
Total War: WARHAMMER III,9.968479
