Title,Original Price,Discounted Price,Link,Game Description,Recent Reviews Summary,All Reviews Summary,Recent Reviews Number,All Reviews Number,Developer,Publisher,Popular Tags,Game Features,Minimum Requirements
Phasmophobia,$7.99,$7.99,https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_230_150_1,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and its up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.,Very Positive,Overwhelmingly Positive,- 90% of the 11251 user reviews in the last 30 days are positive.,- 96% of the 475199 user reviews for this game are positive.,Kinetic Games,Kinetic Games,['Horror'& 'Online Co-Op'& 'Multiplayer'& 'Psychological Horror'& 'Co-op'& 'VR'& 'Supernatural'& 'First-Person'& 'Investigation'& 'Dark'& 'Demons'& 'Mystery'& 'Detective'& 'Early Access'& '3D'& 'Thriller'& 'Indie'& 'Action'& 'Tactical'& 'Lovecraftian'],['Single-player'& 'Online Co-op'& 'Full controller support'& 'Tracked Controller Support'& 'Steam Cloud'& 'Remote Play on Phone'& 'Remote Play on Tablet'],Requires a 64-bit processor and operating system | OS: |  Windows 10 64Bit | Processor: |  Intel Core i5-4590 / AMD Ryzen 5 2600 | Memory: |  8 GB RAM | Graphics: |  NVIDIA GTX 970 / AMD Radeon R9 390 | DirectX: |  Version 11 | Storage: |  21 GB available space | VR Support: |  OpenXR | Additional Notes: |  Minimum Specs are for VR& lower specs may work for Non-VR.
EA SPORTS FIFA 23,$69.99,$17.49,https://store.steampowered.com/app/1811260/EA_SPORTS_FIFA_23/?snr=1_7_7_230_150_1,FIFA 23 brings The Worlds Game to the pitch& with HyperMotion2 Technology& mens and womens FIFA World Cup& womens club teams& cross-play features**& and more.,Mixed,Mixed,- 65% of the 5860 user reviews in the last 30 days are positive.,- 54% of the 110345 user reviews for this game are positive.,EA Canada & EA Romania,Electronic Arts,['Football (Soccer)'& 'Sports'& 'Controller'& 'eSports'& 'PvP'& 'Management'& 'Simulation'& 'Team-Based'& 'Third Person'& 'Realistic'& 'Immersive Sim'& 'Multiplayer'& 'Local Multiplayer'& 'Local Co-Op'& 'Co-op'& 'Online Co-Op'& 'Singleplayer'& 'PvE'& '$1 to Play'& 'LGBTQ+'],['Single-player'& 'Online PvP'& 'Shared/Split Screen PvP'& 'Online Co-op'& 'Shared/Split Screen Co-op'& 'Cross-Platform Multiplayer'& 'Steam Achievements'& 'Full controller support'& 'In-App Purchases'],Requires a 64-bit processor and operating system | OS: |  Windows 10 64-bit | Processor: |  Intel Core i5 6600k or AMD Ryzen 5 1600 | Memory: |  8 GB RAM | Graphics: |  NVIDIA GeForce GTX 1050 Ti or AMD Radeon RX 570 | DirectX: |  Version 12 | Network: |  Broadband Internet connection | Storage: |  100 GB available space
DAVE THE DIVER,$10.49,$10.49,https://store.steampowered.com/app/1868140/DAVE_THE_DIVER/?snr=1_7_7_230_150_1,DAVE THE DIVER is a casual& singleplayer adventure RPG featuring deep-sea exploration and fishing during the day and sushi restaurant management at night. Join Dave and his quirky friends as they seek to uncover the secrets of the mysterious Blue Hole.,Overwhelmingly Positive,Overwhelmingly Positive,- 96% of the 10147 user reviews in the last 30 days are positive.,- 97% of the 48657 user reviews for this game are positive.,MINTROCKET,MINTROCKET,['Pixel Graphics'& 'Casual'& 'Adventure'& 'RPG'& 'Simulation'& 'Management'& 'Relaxing'& 'Fishing'& 'Indie'& 'Farming Sim'& 'Underwater'& 'Exploration'& 'Crafting'& '2D'& 'Roguelite'& 'Singleplayer'& 'Story Rich'& 'Funny'& 'Early Access'& 'Agriculture'],['Single-player'& 'Steam Achievements'& 'Full controller support'& 'Steam Cloud'],OS: |  Windows 7 64 bit | Processor: |  Intel Core i3 Dual Core | Memory: |  8 GB RAM | Graphics: |  NVIDIA Geforce GTS 450 / AMD Radeon HD 5570 | DirectX: |  Version 11 | Storage: |  10 GB available space | Sound Card: |  Windows Compatible Audio Device
Destiny 2,$1,$1,https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_230_150_1,Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime& anywhere& absolutely free.,Mixed,Very Positive,- 58% of the 4907 user reviews in the last 30 days are positive.,- 81% of the 558640 user reviews for this game are positive.,Bungie,Bungie,['$1 to Play'& 'Open World'& 'FPS'& 'Looter Shooter'& 'MMORPG'& 'Co-op'& 'PvE'& 'PvP'& 'Multiplayer'& 'Shooter'& 'Massively Multiplayer'& 'Loot'& 'First-Person'& 'Sci-fi'& 'Action'& 'Lore-Rich'& 'Adventure'& 'Space'& 'Competitive'& 'Atmospheric'],['Single-player'& 'Online PvP'& 'Online Co-op'& 'Steam Achievements'& 'Full controller support'& 'In-App Purchases'& 'Remote Play on Phone'& 'Remote Play on Tablet'& 'Remote Play on TV'],Requires a 64-bit processor and operating system | OS: |  Windows 7 / Windows 8.1 / Windows 10 64-bit (latest Service Pack) | Processor: |  Intel Core i3 3250 3.5 GHz or Intel Pentium G4560 3.5 GHz / AMD FX-4350 4.2 GHz | Memory: |  6 GB RAM | Graphics: |  NVIDIA GeForce GTX 660 2GB or GTX 1050 2GB / AMD Radeon HD 7850 2GB | Network: |  Broadband Internet connection | Storage: |  105 GB available space | Additional Notes:
ELDEN RING,$34.99,$34.99,https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_230_150_1,THE NEW FANTASY ACTION RPG. Rise& Tarnished& and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.,Very Positive,Very Positive,- 93% of the 8066 user reviews in the last 30 days are positive.,- 92% of the 524992 user reviews for this game are positive.,FromSoftware Inc.,FromSoftware Inc.,['Souls-like'& 'Dark Fantasy'& 'RPG'& 'Open World'& 'Difficult'& 'Action RPG'& 'Third Person'& 'Multiplayer'& 'Fantasy'& 'Singleplayer'& 'Online Co-Op'& 'Action'& 'PvP'& 'Co-op'& 'Violent'& 'Atmospheric'& 'Great Soundtrack'& '3D'& 'Character Customization'& 'Family Friendly'],['Single-player'& 'Online PvP'& 'Online Co-op'& 'Steam Achievements'& 'Full controller support'& 'Steam Trading Cards'& 'Steam Cloud'],Requires a 64-bit processor and operating system | OS: |  Windows 10 | Processor: |  INTEL CORE I5-8400 or AMD RYZEN 3 3300X | Memory: |  12 GB RAM | Graphics: |  NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GB | DirectX: |  Version 12 | Storage: |  60 GB available space | Sound Card: |  Windows Compatible Audio Device | Additional Notes:
Echo Point Nova,$1,$1,https://store.steampowered.com/app/1836730/Echo_Point_Nova/?snr=1_7_7_230_150_1578,Grappling hook. Hoverboard. Guns. Featuring singleplayer and online co-op. By the creators of Severed Steel.,Overwhelmingly Negative,Very Positive,- 34% of the 138 user reviews for this game are positive.,- 35% of the 134 user reviews for this game are positive.,Greylock Studio,Greylock Studio,['FPS'& 'Online Co-Op'& 'Shooter'& 'Exploration'& 'Arena Shooter'& 'Action'& 'First-Person'& 'Adventure'& '3D'& 'Stylized'& 'Voxel'& 'Atmospheric'& 'Destruction'& 'Fantasy'& 'Old School'& 'Co-op'& 'Co-op Campaign'& 'Parkour'& 'Relaxing'& 'Retro'],['Single-player'& 'Online Co-op'& 'LAN Co-op'& 'Steam Achievements'& 'Full controller support'& 'Steam Cloud'],Requires a 64-bit processor and operating system | OS: |  Windows 10 | Processor: |  Dual Core | Graphics: |  NVIDIA 750ti or equivalent
Yu-Gi-Oh! Master Duel,$1,$1,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel/?snr=1_7_7_230_150_1,Yu-Gi-Oh! MASTER DUEL is the ultimate free-to-play cross-platform strategy card game with fast-paced Duels& stunning HD graphics and a new& dynamic soundtrack! Get ready to challenge Duelists around the world!,Mixed,Mostly Positive,- 68% of the 1223 user reviews in the last 30 days are positive.,- 76% of the 63436 user reviews for this game are positive.,KONAMI,KONAMI,['Card Game'& '$1 to Play'& 'Strategy'& 'Trading Card Game'& 'Multiplayer'& 'PvP'& 'Card Battler'& 'Anime'& 'Simulation'& 'Turn-Based Tactics'& 'Tactical'& 'eSports'& 'Singleplayer'& 'Survival Horror'& 'Fantasy'& 'Dragons'& 'PvE'& '3D'& '2D'& 'Great Soundtrack'],['Single-player'& 'Online PvP'& 'Cross-Platform Multiplayer'& 'Steam Achievements'& 'Steam Trading Cards'& 'In-App Purchases'],Requires a 64-bit processor and operating system | OS: |  Windows 10 Home (64bit) latest revision | Processor: |  Intel Core i5-7300U | Memory: |  8 GB RAM | Graphics: |  Intel(R) HD Graphics 620 | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  16 GB available space | Sound Card: |  On Board | Additional Notes: |  1280 x 720 monitor resolution
Sons Of The Forest,$14.49,$14.49,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_7_7_230_150_1,Sent to find a missing billionaire on a remote island& you find yourself in a cannibal-infested hellscape. Craft& build& and struggle to survive& alone or with friends& in this terrifying new open-world survival horror simulator.,Very Positive,Very Positive,- 86% of the 3920 user reviews in the last 30 days are positive.,- 83% of the 126694 user reviews for this game are positive.,Endnight Games Ltd,Newnight,['Survival'& 'Open World'& 'Multiplayer'& 'Survival Horror'& 'Co-op'& 'Base Building'& 'Crafting'& 'Horror'& 'First-Person'& 'Exploration'& 'Adventure'& 'Building'& 'Singleplayer'& 'Atmospheric'& 'Action-Adventure'& 'Sandbox'& 'Action'& 'Simulation'& 'Early Access'& 'Immersive Sim'],['Single-player'& 'Online Co-op'& 'Steam Achievements'& 'Full controller support'& 'Steam Cloud'],Requires a 64-bit processor and operating system | OS: |  64-bit Windows 10 | Processor: |  INTEL CORE I5-8400 or AMD RYZEN 3 3300X | Memory: |  12 GB RAM | Graphics: |  NVIDIA GeForce GTX 1060 3GB or AMD Radeon RX 570 4GB | DirectX: |  Version 11 | Storage: |  20 GB available space | Additional Notes: |  SSD (Preferred)
The Texas Chain Saw Massacre,$18.49,$16.64,https://store.steampowered.com/app/1433140/The_Texas_Chain_Saw_Massacre/?snr=1_7_7_230_150_1,Take on the role of one of the notorious Slaughter family& or their victims& in The Texas Chain Saw Massacre& a third-person asymmetrical horror experience based on the groundbreaking and iconic 1974 horror film. Experience the mad and macabre for yourself in The Texas Chain Saw Massacre.,Very Positive,Very Positive,- 86% of the 1834 user reviews for this game are positive.,- 95% of the 1215 user reviews for this game are positive.,Sumo Digital,Gun Interactive,['Horror'& 'Survival Horror'& 'Gore'& 'Team-Based'& 'Multiplayer'& 'Action'& 'Asynchronous Multiplayer'& 'PvP'& 'Survival'& 'Stealth'& 'Third Person'& 'Violent'& 'Blood'& 'Cinematic'& 'Atmospheric'& '3D'& 'Indie'& 'Nudity'& 'Psychological Horror'],['Online PvP'& 'Steam Achievements'& 'Full controller support'& 'Steam Trading Cards'& 'Steam Cloud'],Requires a 64-bit processor and operating system | OS: |  Windows 10 | Processor: |  Intel Core i5 6th gen or AMD Ryzen 5 1600 | Memory: |  8 GB RAM | Graphics: |  Nvidia Geforce GTX 1060 or AMD Radeon RX 580 | Network: |  Broadband Internet connection | Storage: |  30 GB available space
Total War: WARHAMMER III,$46.99,$46.99,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_230_150_1,The cataclysmic conclusion to the Total War: WARHAMMER trilogy is here. Rally your forces and step into the Realm of Chaos& a dimension of mind-bending horror where the very fate of the world will be decided. Will you conquer your Daemons or command them?,Mostly Negative,Mostly Positive,- 27% of the 2492 user reviews in the last 30 days are positive.,- 71% of the 54852 user reviews for this game are positive.,CREATIVE ASSEMBLY& Feral Interactive,SEGA,['Early Access'& 'Strategy'& 'Turn-Based Strategy'& 'Grand Strategy'& 'RTS'& 'Fantasy'& 'Real Time Tactics'& 'Dark Fantasy'& 'War'& 'Action'& 'Tactical'& 'Atmospheric'& 'Colorful'& 'Multiplayer'& 'Games Workshop'& 'Co-op'& 'PvP'& 'Story Rich'& 'Singleplayer'& 'Online Co-Op'],['Single-player'& 'Online PvP'& 'LAN PvP'& 'Online Co-op'& 'LAN Co-op'& 'Steam Achievements'& 'Steam Trading Cards'& 'Steam Cloud'],OS: |  Windows 7 64-bit | Processor: |  Intel i3/Ryzen 3 series | Memory: |  6 GB RAM | Graphics: |  Nvidia GTX 900/AMD RX 400 series | Intel Iris Xe Graphics | DirectX: |  Version 11 | Storage: |  120 GB available space | Additional Notes: |  This game may be updated over time and have paid for and free. additional content released for it. Please be aware that this may increase the minimum requirements for running the game above the specification stated here.
World of Warships,$51.88,$36.32,https://store.steampowered.com/app/552990/World_of_Warships/?snr=1_7_7_230_150_1,Immerse yourself in thrilling naval battles and assemble an armada of over 600 ships from the first half of the 20th century  from stealthy destroyers to gigantic battleships. Change the look of your ship& choose upgrades to suit your play style& and go into battle with other players!,Mostly Negative,Mostly Positive,- 20% of the 4639 user reviews in the last 30 days are positive.,- 77% of the 127620 user reviews for this game are positive.,Wargaming Group Limited,Wargaming Group Limited,['Naval Combat'& '$1 to Play'& 'Naval'& 'World War II'& 'Massively Multiplayer'& 'Action'& 'Multiplayer'& 'Tactical'& 'PvP'& 'Historical'& 'Military'& 'Online Co-Op'& 'Team-Based'& 'Realistic'& 'Shooter'& 'Simulation'& 'PvE'& 'Third-Person Shooter'& 'War'& 'Co-op'],['MMO'& 'Online PvP'& 'Online Co-op'& 'Steam Achievements'& 'Steam Trading Cards'& 'In-App Purchases'& 'Steam Cloud'],Requires a 64-bit processor and operating system | OS: |  Windows 7 x64 SP1 / 8.1 / 10 / 11 | Processor: |  Intel Core i3-3210 @ 3.2GHz& AMD Athlon II X2 245 @ 2.9 GHz | Memory: |  6 GB RAM | Graphics: |  1280720
PAYDAY 2,$6.99,$1,https://store.steampowered.com/app/218620/PAYDAY_2/?snr=1_7_7_230_150_1,PAYDAY 2 is an action-packed& four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas& Hoxton& Wolf and Chains - as they descend on Washington DC for an epic crime spree.,Very Positive,Very Positive,- 90% of the 3498 user reviews in the last 30 days are positive.,- 89% of the 412663 user reviews for this game are positive.,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,['Co-op'& 'Action'& 'FPS'& 'Heist'& 'Looter Shooter'& 'Multiplayer'& 'Online Co-Op'& 'Stealth'& 'Crime'& 'Shooter'& 'Team-Based'& 'First-Person'& 'Great Soundtrack'& 'Gun Customization'& 'Tactical'& 'PvE'& 'Strategy'& 'Singleplayer'& 'Funny'& 'Simulation'],['Single-player'& 'Online Co-op'& 'Steam Achievements'& 'Full controller support'& 'Tracked Controller Support'& 'VR Supported'& 'Steam Trading Cards'& 'In-App Purchases'& 'Steam Cloud'& 'Remote Play on Phone'& 'Remote Play on Tablet'& 'Remote Play on TV'],OS: |  Windows 7 | Processor: |  2 GHz Intel Dual Core Processor | Memory: |  4 GB RAM | Graphics: |  Nvidia & AMD (512MB VRAM) | DirectX: |  Version 9.0c | Storage: |  83 GB available space | VR Support: |  SteamVR. Standing or Room Scale
The Sims 4,$1,$1,https://store.steampowered.com/app/1222670/The_Sims_4/?snr=1_7_7_230_150_1,Play with life and discover the possibilities. Unleash your imagination and create a world of Sims thats wholly unique. Explore and customize every detail from Sims to homesand much more.,Very Positive,Very Positive,- 86% of the 3744 user reviews in the last 30 days are positive.,- 87% of the 108840 user reviews for this game are positive.,Maxis,Electronic Arts,['$1 to Play'& 'Life Sim'& 'Character Customization'& 'Building'& 'Sandbox'& 'Romance'& 'Singleplayer'& 'Immersive Sim'& 'Simulation'& 'Dating Sim'& 'Cute'& 'Relaxing'& 'Casual'& 'Funny'& 'Realistic'& 'Family Friendly'& 'Multiplayer'& 'Adventure'& 'Cartoony'& 'Fantasy'],['Single-player'& 'Steam Trading Cards'& 'Remote Play on Tablet'],Requires a 64-bit processor and operating system | OS: |  64 Bit Required. Windows 10 | Processor: |  3.3 GHz Intel Core i3-3220 (2 cores& 4 threads)& AMD Ryzen 3 1200 3.1 GHz (4 cores) or better | Memory: |  4 GB RAM | Graphics: |  128 MB of Video RAM and support for Pixel Shader 3.0. Supported Video Cards: NVIDIA GeForce 6600 or better& ATI Radeon X1300 or better& Intel GMA X4500 or better | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  26 GB available space
Forza Horizon 4,$27.99,$9.23,https://store.steampowered.com/app/1293830/Forza_Horizon_4/?snr=1_7_7_230_150_1,Dynamic seasons change everything at the worlds greatest automotive festival. Go it alone or team up with others to explore beautiful and historic Britain in a shared open world.,Very Positive,Very Positive,- 90% of the 2525 user reviews in the last 30 days are positive.,- 89% of the 176232 user reviews for this game are positive.,Playground Games,Xbox Game Studios,['Racing'& 'Open World'& 'Driving'& 'Multiplayer'& 'Automobile Sim'& 'Online Co-Op'& 'Realistic'& 'Singleplayer'& 'Controller'& 'Adventure'& 'Arcade'& 'PvP'& 'Simulation'& 'Exploration'& 'Action'& 'Sports'& 'Atmospheric'& 'Great Soundtrack'& 'First-Person'& 'Funny'],['Single-player'& 'Online PvP'& 'Online Co-op'& 'Cross-Platform Multiplayer'& 'Steam Achievements'& 'Full controller support'& 'Steam Trading Cards'& 'Steam Cloud'],Requires a 64-bit processor and operating system | OS: |  Windows 10 version 15063.0 or higher | Processor: |  Intel i3-4170 @ 3.7Ghz OR Intel i5 750 @ 2.67Ghz | Memory: |  8 GB RAM | Graphics: |  NVidia 650TI OR AMD R7 250x | DirectX: |  Version 12 | Network: |  Broadband Internet connection | Storage: |  80 GB available space
Red Dead Redemption 2,$34.99,$34.99,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_230_150_1,Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores& RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang& on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.,Very Positive,Very Positive,- 92% of the 13910 user reviews in the last 30 days are positive.,- 90% of the 404364 user reviews for this game are positive.,Rockstar Games,Rockstar Games,['Open World'& 'Story Rich'& 'Western'& 'Adventure'& 'Action'& 'Multiplayer'& 'Realistic'& 'Singleplayer'& 'Shooter'& 'Atmospheric'& 'Horses'& 'Beautiful'& 'Third-Person Shooter'& 'Mature'& 'Great Soundtrack'& 'Third Person'& 'Sandbox'& 'Gore'& 'First-Person'& 'FPS'],['Single-player'& 'Online PvP'& 'Online Co-op'& 'Steam Achievements'& 'In-App Purchases'& 'Partial Controller Support'& 'Remote Play on Phone'& 'Remote Play on Tablet'],Requires a 64-bit processor and operating system | OS: |  Windows 10 - April 2018 Update (v1803) | Processor: |  Intel Core i7-4770K / AMD Ryzen 5 1500X | Memory: |  12 GB RAM | Graphics: |  Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GB | Network: |  Broadband Internet connection | Storage: |  150 GB available space | Sound Card: |  Direct X Compatible
Hunt: Showdown,$21.90,$21.90,https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_230_150_1,Hunt: Showdown is a high-stakes& tactical PvPvE first-person shooter. Hunt for bounties in the infested Bayou& kill nightmarish monsters and outwit competing hunters - alone or in a group - with your glory& gear& and gold on the line.,Mostly Positive,Very Positive,- 75% of the 2624 user reviews in the last 30 days are positive.,- 83% of the 135353 user reviews for this game are positive.,Crytek,Crytek,['Open World'& 'Tactical'& 'Atmospheric'& 'Multiplayer'& 'FPS'& 'Perma Death'& 'Shooter'& 'PvP'& 'Survival Horror'& 'Horror'& 'Difficult'& 'Western'& 'Online Co-Op'& 'Battle Royale'& 'Co-op'& 'Team-Based'& 'Action'& 'Gore'& 'Zombies'& 'First-Person'],['Online PvP'& 'Online Co-op'& 'Steam Achievements'& 'Full controller support'& 'Steam Trading Cards'& 'In-App Purchases'& 'Steam Leaderboards'& 'Remote Play on Tablet'& 'Remote Play on TV'],Requires a 64-bit processor and operating system | OS: |  Windows 10 64 bit | Processor: |  Intel i5-4590 @ 3.3GHz (4th Generation) or AMD Ryzen 3 1200 | Memory: |  8 GB RAM | Graphics: |  NVIDIA GeForce GTX 660 TI or AMD Radeon R7 370& with a minimum of 3GB of VRAM | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  50 GB available space | Sound Card: |  DirectX compatible audio card | Additional Notes: |  Best experienced with headphones
Football Manager 2023,$39.99,$15.99,https://store.steampowered.com/app/1904540/Football_Manager_2023/?snr=1_7_7_230_150_1,Build your dream squad& outsmart your rivals and experience the thrill of big European nights in the UEFA Champions League. Your journey towards footballing glory awaits.,Very Positive,Very Positive,- 91% of the 676 user reviews in the last 30 days are positive.,- 88% of the 11000 user reviews for this game are positive.,Sports Interactive,SEGA,['Simulation'& 'Sports'& 'Football (Soccer)'& 'Management'& 'Real Time Tactics'& 'eSports'& 'Multiplayer'& '3D'& 'Strategy'& 'Singleplayer'& '2D'& 'Text-Based'& 'Games Workshop'],['Single-player'& 'Steam Achievements'& 'Steam Cloud'],Requires a 64-bit processor and operating system | OS: |  Windows 7 | Processor: |  Intel Core 2 or AMD Athlon 64 X2 | Memory: |  4 GB RAM | Graphics: |  Intel GMA X4500& NVIDIA GeForce 9600M GT& AMD/ATI Mobility Radeon HD 3650 | DirectX: |  Version 11 | Storage: |  7 GB available space
Hogwarts Legacy,$26.99,$26.99,https://store.steampowered.com/app/990080/Hogwarts_Legacy/?snr=1_7_7_230_150_1,Hogwarts Legacy is an immersive& open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.,Very Positive,Very Positive,- 86% of the 2497 user reviews in the last 30 days are positive.,- 92% of the 154790 user reviews for this game are positive.,Avalanche Software,Warner Bros. Games,['Magic'& 'Fantasy'& 'Open World'& 'Singleplayer'& 'Adventure'& 'RPG'& 'Character Customization'& 'Exploration'& 'Story Rich'& 'Third Person'& 'Action-Adventure'& 'Atmospheric'& 'Action RPG'& 'Action'& 'Combat'& 'Choices Matter'& 'Puzzle'& 'Great Soundtrack'& 'Dark'& 'Family Friendly'],['Single-player'& 'Steam Achievements'& 'Full controller support'& 'In-App Purchases'& 'Steam Cloud'],Requires a 64-bit processor and operating system | OS: |  64-bit Windows 10 | Processor: |  Intel Core i5-6600 (3.3Ghz) or AMD Ryzen 5 1400 (3.2Ghz) | Memory: |  16 GB RAM | Graphics: |  NVIDIA GeForce GTX 960 4GB or AMD Radeon RX 470 4GB | DirectX: |  Version 12 | Storage: |  85 GB available space | Additional Notes: |  SSD (Preferred)& HDD (Supported)& 720p/30 fps& Low Quality Settings
Project Zomboid,$10.49,$10.49,https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_230_150_1,Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot& build& craft& fight& farm and fish in a struggle to survive. A hardcore RPG skillset& a vast map& massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die? All it takes is a bite..,Very Positive,Very Positive,- 94% of the 6245 user reviews in the last 30 days are positive.,- 94% of the 169738 user reviews for this game are positive.,The Indie Stone,The Indie Stone,['Survival'& 'Zombies'& 'Open World'& 'Open World Survival Craft'& 'Multiplayer'& 'Sandbox'& 'Post-apocalyptic'& 'Co-op'& 'Crafting'& 'Indie'& 'Building'& 'Simulation'& 'RPG'& 'Survival Horror'& 'Realistic'& 'Isometric'& 'Singleplayer'& '2D'& 'Early Access'& 'Adventure'],['Single-player'& 'Online PvP'& 'Online Co-op'& 'Shared/Split Screen Co-op'& 'Cross-Platform Multiplayer'& 'Steam Trading Cards'& 'Steam Workshop'& 'Partial Controller Support'& 'Remote Play Together'],Requires a 64-bit processor and operating system | OS: |  Windows 7 | Processor: |  Intel Dual Core | Memory: |  2 GB RAM | Graphics: |  Intel HD 5000 | DirectX: |  Version 9.0 | Storage: |  500 MB available space
Ready or Not,$24.99,$24.99,https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_230_150_1,Ready or Not is an intense& tactical& first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.,Very Positive,Very Positive,- 87% of the 2783 user reviews in the last 30 days are positive.,- 91% of the 93693 user reviews for this game are positive.,VOID Interactive,VOID Interactive,['Tactical'& 'Realistic'& 'FPS'& 'Multiplayer'& 'Shooter'& 'Co-op'& 'Singleplayer'& 'First-Person'& 'Action'& 'Horror'& 'Violent'& 'Gun Customization'& 'Combat'& 'Crime'& 'Modern'& 'Gore'& 'Atmospheric'& 'America'& 'Co-op Campaign'& 'Early Access'],['Single-player'& 'Online Co-op'& 'Steam Cloud'],Requires a 64-bit processor and operating system | OS: |  64-bit Windows 7& Windows 8.1& Windows 10 | Processor: |  Intel Core i5-4430 / AMD FX-6300 | Memory: |  8 GB RAM | Graphics: |  NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB | DirectX: |  Version 11 | Storage: |  90 GB available space
